file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00682_0233_2166944_to_2169120,གཟུགས་སྟོང་པའོ། སྟོང་པ་ཉིད་གཟུགས་སོ། གཟུགས་ལས་སྟོང་པ་ཉིད་གཞན་མ་ཡིན། སྟོང་པ་ཉིད།  ,gzugs stong pa'o/_stong pa nyid gzugs so/_gzugs las stong pa nyid gzhan ma yin/_stong pa nyid/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0233_2166944_to_2169120.wav,STT_TT,3,81,2.176,wav16k/STT_TT00682_0233_2166944_to_2169120.wav,གཟུགས་སྟོང་པའ། སྟོང་པ་ཉིད།གཟུགས་ས། གཟུགས་ལ་སྟོང་པ་ཉིད་།་སྟོང་པ་ཉིད།
STT_MV0388_0048_292782_to_297216,ཨ་རོས། ཨ་ཙི་མེ།  ,a ros/_a tsi me/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0388_0048_292782_to_297216.wav,STT_MV,3,17,4.434,wav16k/STT_MV0388_0048_292782_to_297216.wav,ཧ།ཨ་ཧ་ཡོ། ཨ་ཙི་མེ།
STT_TT00682_0198_1820298_to_1823455,འདོད་ཆགས་ཀིས་ཞེ་སྡང་ལ་ཁྱབ་ཀི་མ་རེད། ཞེ་སྡང་གིས་འདོད་ཆགས་ལ་ཁྱབ་ཀི་མ་རེད།  ,'dod chags kis zhe sdang la khyab ki ma red/_zhe sdang gis 'dod chags la khyab ki ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0198_1820298_to_1823455.wav,STT_TT,3,73,3.157,wav16k/STT_TT00682_0198_1820298_to_1823455.wav,འདོད་ཆགས་ཀི་ཞེ་སྡང་ལ་ཁྱབ་ཀི་མ་རེད། ཞེ་སྡང་གི་འདོད་ཆགས་ལ་ཁྱབ་ཀི་མ་རེད།
STT_TT00682_0200_1827773_to_1837209,ཨོ་ད། དཔེ་དེ་བཀོད་གི་ཡོད་རེད་བ། བྱས་ཙང་ག མིག་དབང་གིས། རྣ་དབང་ལ་སོགས་པ་གི་ལུས། ལུས་ཐམས་ཅད་ལ་ཁྱབ་ཀི་མ་རེད་ཟེ། ལུས་ཀྱི་དབང་པོ་ ,o da/_dpe de bkod gi yod red ba/_byas tsang ga_mig dbang gis/_rna dbang la sogs pa gi lus/_lus thams cad la khyab ki ma red ze/_lus kyi dbang po _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0200_1827773_to_1837209.wav,STT_TT,3,124,9.436,wav16k/STT_TT00682_0200_1827773_to_1837209.wav,ཨོ་ད། དཔེ་དེ་བཀོད་ཀི་ཡོད་རེད་བ། བྱས་ཙང་ག མིག་དབང་གིས་སྣ་བ་ལ་སོགས་པ་གི་ལུས་ ལུས་ཐམས་ཅད་ལ་ཁྱབ་ཀི་མ་རེད་ཟེ། ལུས་ཀི་དབང་པོ།
STT_TT00682_0215_1971191_to_1974935,འདིར་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ཟེར་དུས། རྒྱུ་འབྲས་རྟེན་འབྱུང་དང་། ཆ་ཤས་རྟེན་འབྱུང་དེ་ཟེར་གོ་མ་རེད།  ,'dir rten cing 'brel bar 'byung ba zer dus/_rgyu 'bras rten 'byung dang /_cha shas rten 'byung de zer go ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0215_1971191_to_1974935.wav,STT_TT,3,100,3.744,wav16k/STT_TT00682_0215_1971191_to_1974935.wav,འདིར་རྟེན་ཅིང་འབྲེལ་བ་འབྱུང་བ་ཟེར་དུས། རྒྱུ་འབྲས་རྟེན་འབྱུང་དང་། ཆ་ཤས་རྟེན་འབྱུང་། འདི་ཟེར་ི་ཡོད་མ་རེད།
STT_NS_M0334_0326_1929820_to_1932124,ཧཱཡེཋྀ་ལ་ཞེད་སྣང་འདྲ་བོ་ལབ་ཀི་ཡོད་བ་ང་ཚོ།  ,hAyeTh-i la zhed snang 'dra bo lab ki yod ba nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0326_1929820_to_1932124.wav,STT_NS,3,43,2.304,wav16k/STT_NS_M0334_0326_1929820_to_1932124.wav,ཨེ་ཧའེཌྀ་ལ་ཞེད་སྣང་འདྲ་བོ་ལབ་ཀི་ཡོད་བ་ང་ཚོ།
STT_MV0912_0191_1316977_to_1326539,དངོས་གནས་འཇོན་པོ་འདུག་ག གལ་སྲིད་མི་དེ་མེད་ན། ང་ཚོའི་ཟམ་པ་འདི་ག་དུས་བསྐྲུན་ཐུབ་བྲོར་ཡོད་མེད་ཤེས་ཚོད་ཐིག་གི་མ་རེད་ད། མི་དེ་གཤིས་ཀ་ངན་ཙི་ཡོད་རེད་ད། དམག་དཔོན་ཆེན་མོ་ཀན་ལགས།  ,dngos gnas 'jon po 'dug ga_gal srid mi de med na/_nga tsho'i zam pa 'di ga dus bskrun thub bror yod med shes tshod thig gi ma red da/_mi de gshis ka ngan tsi yod red da/_dmag dpon chen mo kan lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0912_0191_1316977_to_1326539.wav,STT_MV,3,170,9.562,wav16k/STT_MV0912_0191_1316977_to_1326539.wav,དངོས་གནས་འཇོན་པོ་འདུག་ག གལ་སྲིད་མི་དེ་མེད་ན་ང་ཚོའི་ཟམ་པ་དེ་ག་དུས་འཛིང་ཐུབ་བྲོར་ཡོད་མེད་བཤད་ཚོད་ཐིག་པི་མ་རེད་ད། མི་དེ་གཤིས་ཀ་ངན་པ་གཅིག་ཡོད་རེད་ད། དམག་དཔོན་ཆེན་པོ་ཀན་ལགས།
STT_TT00683_0098_859308_to_867107,སྟོང་ཉིད་ཀྱི་ལྟ་བ་ལ་དོ་སྣང་མ་སྤྲད་ན་སྐྱོན་ག་རེ་ཡོད་རེད། དོ་སྣང་ངེས་པར་སྤྲད་དགོས་པའི་རྒྱུ་མཚན་དེ། ས་བཅད་གཉིས་པའི་ནང་ལ་ཡོད་པ་ཡིན་ཙང་། གཉིས་པ།  ,stong nyid kyi lta ba la do snang ma sprad na skyon ga re yod red/_do snang nges par sprad dgos pa'i rgyu mtshan de/_sa bcad gnyis pa'i nang la yod pa yin tsang /_gnyis pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00683_0098_859308_to_867107.wav,STT_TT,3,141,7.799,wav16k/STT_TT00683_0098_859308_to_867107.wav,སྟོང་ཉིད་ཀི་ལྟ་བ་ལ་དོ་སྣང་མ་སྤྲད་ན། སྐྱོན་ག་རེ་ཡོད་རེད། དོ་སྣང་ངེས་པ་སྤྲད་དགོས་པའི་རྒྱུ་མཚན་དེ། ས་བཅད་གཉིས་པའི་ནང་ལ་ཡོད་པ་ཡིན་ཙང་། གཉིས་པ།
STT_TT00682_0219_2005639_to_2012312,རྟེན་འབྱུང་སྟོང་པ་ཉིད་ཤེས་ཡ་དེ་ཧ་ཅང་གལ་ཆེན་པོ་ཡིན་ཙང་། ཨེ་ནས་བཞི་བརྒྱ་པའི་གི་དཔེ་ཆ་དེ་གི་ནང་ལ།  ,rten 'byung stong pa nyid shes ya de ha cang gal chen po yin tsang /_e nas bzhi brgya pa'i gi dpe cha de gi nang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0219_2005639_to_2012312.wav,STT_TT,3,96,6.673,wav16k/STT_TT00682_0219_2005639_to_2012312.wav,རྟེན་འབྱུང་སྟོང་པ་ཉིད་ཤེས་ཡ་དེ། ཧ་ཅང་གལ་ཆེན་པོ་ཡིན་ཙང་། ཨེ་ནས། བཞི་བརྒྱ་པའི དཔེ་ཆ་འདི་གི་ནང་ལ།
STT_NS_M0355_0055_921919_to_925930,སྡོད་ཁང་ནང་ད་ཤག་ནང་ལས་ཀ་འདྲ་བོ་བྱེད་དུས། གཞས་སྐད་ཆེན་པོ་དཔེ་སྤར་རཱ།  ,sdod khang nang da shag nang las ka 'dra bo byed dus/_gzhas skad chen po dpe spar rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0055_921919_to_925930.wav,STT_NS,3,69,4.011,wav16k/STT_NS_M0355_0055_921919_to_925930.wav,སྡོད་ཁང་ནང་ད་ཤག་ནང་ལས་ཀ་འདྲ་བོ་བྱེད་དུས་ གཞས་སྐད་ཆེན་པོ་དཔེ་སྤར་རཱ།
STT_NS_M0355_0061_1006139_to_1009915,འཁྲབ་ཡ་དེ་ད་དེ་འདྲའི་འདྲ་བོ་རེད། ད་ག་བྱས་ནས་ལབ་ན་ང་འདྲ་བོ་ཡིན་ན་ལ་དྭགས་ནས་རེད། ལ་དྭགས་མི་མང་ཆེ་གཞས་འཁྲབ།  ,'khrab ya de da de 'dra'i 'dra bo red/_da ga byas nas lab na nga 'dra bo yin na la dwags nas red/_la dwags mi mang che gzhas 'khrab/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0061_1006139_to_1009915.wav,STT_NS,3,106,3.776,wav16k/STT_NS_M0355_0061_1006139_to_1009915.wav,འཁྲབ་ཡ་དེ་ད་དེ་འདྲའི་འདྲ་བོ་རེད། ད་ག་རེ་བྱས་ས་ལབ་ན་ང་འདྲ་བོ་ཡིན་ན་ལ་དྭགས་ནས་རེད། ལ་དྭགས་མི་མང་ཆེ་ཤས་ྲབ།
STT_MV0388_0093_770360_to_772533,ཉུང་དྲགས་པ་རེད་པེ། འོ་།  ,nyung drags pa red pe/_'o /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0388_0093_770360_to_772533.wav,STT_MV,3,25,2.173,wav16k/STT_MV0388_0093_770360_to_772533.wav,ཉུང་དྲགས་པ་རེད་པེ། འོ།
STT_PC0085_0019_126620_to_132028,ད་དེ་སྨུག་པོ་དེ་ཉུང་རུ་གཏོང་ཡ་ཟེར་ན། སྙོམ་སྒྲིག་བྱེད་ཡ་གཙོ་བོ་དེ་ག་རེ་ཟེར་ན་ཞོགས་ཟས་དེ་ཟ་དགོས་རེད། ང་ཚོ་ ,da de smug po de nyung ru gtong ya zer na/_snyom sgrig byed ya gtso bo de ga re zer na zhogs zas de za dgos red/_nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0085_0019_126620_to_132028.wav,STT_PC,3,105,5.408,wav16k/STT_PC0085_0019_126620_to_132028.wav,ད་དེ་སྨུག་པོ་དེ་ཉུང་རུ་གཏོང་ཡ་ཟེར་ན། སྙོམས་སྒྲིག་བྱེད་ཡ་གཙོ་བོ་དེ་ག་རེ་ཟེར་ན། ཞོགས་ཟས་དེ་ཟ་དགོས། ང་ཚོས་
STT_NS_M0355_0060_1000776_to_1004240,ཚང་མ་ལ་ཡོད་བ་འཇགས་བསྡད་རྒྱོ་ཅིག་ཡོད་བ། གོམས་གཤིས་དེ། དེ་འདྲའི་འདྲ་བོ་ཅིག་རེད་ཡོད་བ།  ,tshang ma la yod ba 'jags bsdad rgyo cig yod ba/_goms gshis de/_de 'dra'i 'dra bo cig red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0060_1000776_to_1004240.wav,STT_NS,3,85,3.464,wav16k/STT_NS_M0355_0060_1000776_to_1004240.wav,ཚང་མ་ལ་ཡོད་བ་འཇགས་བསྡད་རྒྱོ་ཅིག་ཡོད་བ། གོམས་གཤིས་དེ། དེ་འདྲའི་འདྲ་བོ་ཅིག་རེད་ཡོད་བ།
STT_NS_M0355_0062_1011333_to_1013541,ཨེ་ནས་གཞས་བཏང་། མི་མང་ཆེ་བ་གཞས་ལ་ཞེ་བོ་དབྱིངས་ཡོད་རེད།  ,e nas gzhas btang /_mi mang che ba gzhas la zhe bo dbyings yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0062_1011333_to_1013541.wav,STT_NS,3,56,2.208,wav16k/STT_NS_M0355_0062_1011333_to_1013541.wav,ཨེ་ནས་གཞས་བཏང་། མི་མང་ཆེ་གཞས་ལ་ཞེ་བོ་དབྱིངས་ཡོད་རེད།
STT_NS_M0355_0065_1061366_to_1063521,ཨེ་ནས་དེ་ཚོ་མི་གཞན་པ་འགྲེལ་བཤད་འདྲ་བོ་བརྒྱབ་བཞག་ཡོད་བ།  ,e nas de tsho mi gzhan pa 'grel bshad 'dra bo brgyab bzhag yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0065_1061366_to_1063521.wav,STT_NS,3,56,2.155,wav16k/STT_NS_M0355_0065_1061366_to_1063521.wav,ཨེ་ནས་དེ་ཚོ་མི་གཞན་པ་འགྲེལ་བཤད་འདྲ་བོ་བརྒྱབ་ཤག་ཡོད་བ།
STT_NS_M0355_0066_1072812_to_1075180,ད་ལ་དྭགས་དཀྱི་དེ་ཚོས་ལ་དྭགས་དཀྱི་གཞས་ཧ་གོ་ཡི་ཡོད་རཱ།  ,da la dwags dkyi de tshos la dwags dkyi gzhas ha go yi yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0066_1072812_to_1075180.wav,STT_NS,3,54,2.368,wav16k/STT_NS_M0355_0066_1072812_to_1075180.wav,ད་ལ་དྭགས་དཀྱིལ་དེ་ཚོ་ལ་དྭགས་དཀྱིལ་གཞས་ཧ་གོ་ི་ཡོད་རཱ།
STT_NS_M0355_0069_1192578_to_1194605,གཞས་ཀི་སྒང་ལ་དབྱིངས་དང་འབྲེལ་བ་ཡོད་རྒྱོ་ཡང་།  ,gzhas ki sgang la dbyings dang 'brel ba yod rgyo yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0069_1192578_to_1194605.wav,STT_NS,3,46,2.027,wav16k/STT_NS_M0355_0069_1192578_to_1194605.wav,གཞས་ཀི་སྒང་ལ་དབྱིངས་དང་འབྲེལ་བ་ཡོད་རྒྱོ་ཡང་།
STT_NS_M0355_0072_1211173_to_1213370,འཁྲབ་ཡ་ཡང་དགའ་བོ་ཡོད། ཨེ་ནས་གཞན་པ་ལ།  ,'khrab ya yang dga' bo yod/_e nas gzhan pa la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0072_1211173_to_1213370.wav,STT_NS,3,38,2.197,wav16k/STT_NS_M0355_0072_1211173_to_1213370.wav,འཁྲབ་ཡ་ཡང་དགའ་བོ་ཡོད། ཨེ་ནས་གཞན་པ་ལ།
STT_TT00682_0292_2649133_to_2651533,ཁོ་སྟོང་ཉིད་སྒོམ་བཞིན་པའི་སྒང་ལ་ཁོ་དེའི་ནང་ལ་འཛུལ་ནས།  ,kho stong nyid sgom bzhin pa'i sgang la kho de'i nang la 'dzul nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0292_2649133_to_2651533.wav,STT_TT,3,55,2.4,wav16k/STT_TT00682_0292_2649133_to_2651533.wav,ཁོ་སྟོང་ཉིད་སྒོམ་བཞིན་པའི་སྒང་ལ། ཁོ་དེའི་ནང་ལ་འཛུལ་ནས།
STT_TT00682_0216_1979104_to_1987568,རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ནི་ཟེར་དུས། རྟེན་འབྱུང་གི་དེ་ཁོ་ན་ཉིད་ནི། རྟེན་ཅིང་ཨེ། རྟེན་འབྱུང་སྟོང་པ་ཉིད་ནི་ཟེ་བྱས། རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ནི་ཟེ།  ,rten cing 'brel bar 'byung ba ni zer dus/_rten 'byung gi de kho na nyid ni/_rten cing e/_rten 'byung stong pa nyid ni ze byas/_rten cing 'brel bar 'byung ba ni ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00682_0216_1979104_to_1987568.wav,STT_TT,3,148,8.464,wav16k/STT_TT00682_0216_1979104_to_1987568.wav,རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ནི་ཟེར་དུས། རྟེན་འབྱུང་གི་དེ་ཁོ་ན་ཉིད་ནི། རྟེན་ཅིང་། རྟེན་འབྱུང་སྟོང་པ་ཉིད་ནི་ཟེ་བྱས། རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་ནི་ཟེ།
STT_NS_M0355_0057_938114_to_946953,ངས་འདི་ལབ་དགོས་བསམ་སོང་། ད་ལྟ་ང་འདྲ་བོ་ཡིན་ན་ཡོད་བ། ད་གཞས་ཀི་སྒང་ལ་འདུག་སེ་ཨེ་དོ་སྣང་བྱེད་བསྡད་དུས་ད་གཞས་ཀྱི་ནང་ནས་དམིགས་བསལ་ད་ག་ལབ་དགོས་རེད། ཨོང་།  ,ngas 'di lab dgos bsam song /_da lta nga 'dra bo yin na yod ba/_da gzhas ki sgang la 'dug se e do snang byed bsdad dus da gzhas kyi nang nas dmigs bsal da ga lab dgos red/_ong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0057_938114_to_946953.wav,STT_NS,3,149,8.839,wav16k/STT_NS_M0355_0057_938114_to_946953.wav,ངས་འདི་ལབ་དགོས་བསམ་སོང་། ད་ལྟ་ང་འདྲ་བོ་ཡིན་ན་ཡོད་བ། ད་གཞས་ཀི་སྒང་ལ་འདུག་སེ་དོ་སྣང་བྱེད་བསྡད་དུས། ད་གཞས་ཀི་ནང་ནས་དམིགས་བསལ་ད་ག་ར་ལབ་དགོས་རེད།
